codigo_unico,region,pais,codigo_pais,nombre_subnacional,nombre_nivel,nivel_gobierno,codigo_nivel,gob_regional,gob_local,poblacion,poblacion_anio,urbano,analfabetismo,fin_secundaria_adultos,participacion_mujeres,participacion_hombres,agua_mejorada,saneamiento_mejorado,electricidad,desempleo_adulto,desempleo_adulto_mujer,desempleo_adulto_hombre,recoleccion_residuos,empleo_publico_categoria,etnia_indigena,etnia_afro,tics_computadora,tics_celular,tiene_ods,hogares
ARG020072007,América del Sur,Argentina,ARG,Comuna 1,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 1,221001,2022,1,0.00530479718296977,0.7231923601637108,0.762127665760514,0.8677540224818162,0.9910450571304176,0.9632976783045624,0.9989291724032432,0.0529178754742245,0.0684583985045588,0.03813636198700969,0.957565572999906,0.19140929693264463,0.00744183794514247,0.0250175515045876,0.6099834080559183,0.8718772431484685,1,85538
ARG020142014,América del Sur,Argentina,ARG,Comuna 2,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 2,160609,2022,0.9999999998638048,0.0023418536946479,0.9082535825854118,0.7555456813753973,0.847020830659994,0.9987318988791622,0.9951184924595708,0.999986364504077,0.04635208494899481,0.05145894593983262,0.04065143289988637,0.9896236705754022,0.23716058335347676,0.00482025265208782,0.01139274937849104,0.7971583626496496,0.8922795822084049,1,73478
ARG020212021,América del Sur,Argentina,ARG,Comuna 3,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 3,193537,2022,0.9999999999221028,0.00419105741686386,0.7727981803725807,0.7801960433798117,0.8741196142348033,0.9974024701039012,0.986252695549892,0.9997059400117624,0.04784541953575921,0.05747236171309644,0.03810333500792209,0.989465948064674,0.2171881020745547,0.00601104761703006,0.02310148872729969,0.6355126445794942,0.8608238580670456,1,81860
ARG020282028,América del Sur,Argentina,ARG,Comuna 4,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 4,227024,2022,0.9999999999923688,0.00897718996034544,0.5942109709341725,0.7120180795824478,0.873796822451583,0.995515051954994,0.965280765570201,0.9985006714384428,0.06677973288106848,0.08832420177593048,0.04786157470387206,0.9562996742671008,0.23337756984119845,0.00633001129705773,0.02257124692989878,0.5406839545768634,0.8639131171692677,1,76797
ARG020352035,América del Sur,Argentina,ARG,Comuna 5,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 5,192449,2022,0.9999999999951312,0.00419085726240912,0.8302716363978152,0.7818713267475303,0.8970363526527131,0.997924369202828,0.9922293572030876,1,0.04520038205913957,0.05185821954778993,0.0386039970685523,0.98822217033751,0.25402145674325943,0.00657262301312289,0.02237262748429501,0.6931569047155737,0.8708309009534929,1,77230
ARG020422042,América del Sur,Argentina,ARG,Comuna 6,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 6,201764,2022,0.999999999861312,0.00291689489279421,0.8756235949041858,0.7766796540910387,0.8889646655484489,0.9993113677296324,0.9907961648479712,0.9997483843627504,0.04166880853732509,0.04943105346873853,0.0337763586224056,0.983066555454052,0.26513189047658836,0.00567348579646794,0.01195282287060262,0.7544628668291132,0.8784564042801144,1,75618
ARG020492049,América del Sur,Argentina,ARG,Comuna 7,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 7,213262,2022,0.9999999999798792,0.00876782009236329,0.7330993382326058,0.7300645981150058,0.8710542208605223,0.996593262502604,0.9862750143989804,0.9990686616913592,0.05381189461618557,0.0670147954743255,0.04149826667794031,0.9698692578206368,0.2308749911866319,0.00609537631238803,0.03491689153949069,0.6280896535666581,0.8635221744298617,1,81728
ARG020562056,América del Sur,Argentina,ARG,Comuna 8,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 8,203888,2022,1,0.0125277920301009,0.477980001603537,0.6404367049209111,0.8443726905411472,0.9948564962452422,0.9557830127215992,0.9980111785481602,0.07051951698960966,0.09445718273352607,0.050878305147134,0.9251249914389426,0.26432550457688325,0.00441980113560632,0.03682989896835764,0.4443644343860371,0.843963241093166,1,58427
ARG020632063,América del Sur,Argentina,ARG,Comuna 9,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 9,167908,2022,0.999999999761252,0.00543952417439858,0.6967734676784219,0.6907670216138597,0.8668644284226863,0.9991345508495532,0.9883252675827476,0.9993994842629552,0.06040632276664162,0.07688777300828811,0.04657118252277568,0.971200028252578,0.22005547037847337,0.00494905924678033,0.02673849590560996,0.6084284149916988,0.8485640608993607,1,56703
ARG020702070,América del Sur,Argentina,ARG,Comuna 10,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 10,171896,2022,1,0.00640937434367282,0.7810571793433505,0.7212479752095218,0.8905217323691781,0.998676946195812,0.9950834667276468,0.99936297409428,0.05175394118189361,0.06930475539498096,0.0360604208504322,0.9901411899126744,0.221987926196752,0.00384828817525997,0.02688976282963785,0.6564306948482571,0.857110189147692,1,61350
ARG020772077,América del Sur,Argentina,ARG,Comuna 11,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 11,201905,2022,0.9999999999298272,0.0040403913461478,0.822312111008017,0.735359320155182,0.8806352811618143,0.9994661271741268,0.993734018938436,0.9997330635870634,0.04766284299358229,0.05759326717749026,0.0383946540573282,0.9959116580966028,0.22467744760347944,0.00358895867419644,0.01911120494009605,0.7105706819522887,0.8751299558852454,1,71256
ARG020842084,América del Sur,Argentina,ARG,Comuna 12,Comuna,Local,2,Ciudad Autónoma de Buenos Aires,Comuna 12,235364,2022,0.9999999999882478,0.00429268756725904,0.8383062540053531,0.7630222911194362,0.891212343635313,0.9997570767381798,0.9963689365075306,0.999859360216841,0.04899025638234174,0.05942549709362479,0.03926963043440167,0.9886123998312948,0.21683427114584808,0.0050445341695805,0.01530893388504273,0.7398036157209706,0.8796634873552049,1,78323
